word_spanish,translate_word_english,semantic_category,domain,aoa_subjective_mean,aoa_subjective_sd,familiar_mean,familiar_sd,manip_mean,manip_sd,typicality_mean,typicality_sd,percent_total_36,frequency_log,frequency_espal,frequency_crea,frequency_cuetosetal_2012,length,syllables,subjects
guisante,pea,Vegetables,Living Things,3.18,1.04,3.91,1.15,3.41,1.6,4.11,0.82,0.17,11.48,2.62,80,1.28,8,3,38
haba,broad bean,Vegetables,Living Things,4.27,1.29,3.69,1.01,3.23,1.33,3.6,1,0.03,12.03,2.38,96,1.08,5,2,38
judías verdes,fench beans,Vegetables,Living Things,3.24,1.44,4.28,1.06,3.89,1.51,4.76,0.5,0.22,13.17,0,132,0,12,5,38
lechuga,lettuce,Vegetables,Living Things,3,1.22,4.68,0.86,3.6,1.05,4.79,0.32,0.67,13.52,2.72,885,2.2,7,3,38
lenteja,lentil,Vegetables,Living Things,2.79,1.18,4.6,0.7,3.08,1.39,3.27,1.4,0.03,11.26,1.92,59,0.48,7,3,38
nabo,turnip,Vegetables,Living Things,5,1.07,3.1,1.26,3,1.24,3.47,1.13,0.14,12.1,2.22,135,1.78,4,2,38
patata,potato,Vegetables,Living Things,2.03,1.17,4.51,0.84,3.98,1.4,3.86,1.27,0.25,13.96,3.03,657,2.53,6,3,38
pepino,cucumber,Vegetables,Living Things,3.58,1.35,4.15,1.1,3.59,1.22,4.16,0.74,0.19,13.66,2.7,332,1.62,6,3,38
perejil,parsley,Vegetables,Living Things,3.83,1.37,4.43,0.89,3.51,0.96,3.39,1.3,0.03,13.52,3.15,2320,1.11,7,3,38
pimiento,pepper,Vegetables,Living Things,3.35,0.95,4.42,0.69,3.67,1.04,4.27,0.92,0.25,13.53,2.65,1040,1.89,8,3,38
puerro,leek,Vegetables,Living Things,4.9,1.59,3.93,1.23,3.33,1.28,4.08,1.15,0.39,12.1,1.97,288,1,6,2,38
rábano,radish,Vegetables,Living Things,4.53,1.45,2.62,1.07,2.4,1.38,2.85,1.14,0.14,15.03,2.38,180,1.15,6,3,38
remolacha,beet,Vegetables,Living Things,4.39,1.45,3.39,1.17,3.1,1.37,3.49,1.17,0.06,12.69,2.82,478,1.73,9,4,38
repollo,cabbage,Vegetables,Living Things,4.48,1.64,3.51,1.42,3.29,1.26,3.6,1.18,0.36,12.28,2.69,305,0.85,7,3,38
tomate,tomato,Vegetables,Living Things,2.35,1,4.68,0.45,3.68,0.93,4.45,0.7,0.33,10.83,3.33,2867,2.62,6,3,38
yeros,bitter vetch,Vegetables,Living Things,3.64,3.33,0.62,0.75,0.83,0.57,0.53,0.49,0.03,9.99,1.46,0,0,4,2,20
zanahoria,carrot,Vegetables,Living Things,2.86,1.12,4.59,0.64,3.51,1.25,4.54,0.55,0.36,13.85,2.83,1029,2.16,9,4,38
aeropuerto,airport,Buildings,Non-Living Things,3.56,1.35,3.78,1.24,3,1.65,3.22,1.37,0.03,15.4,4.26,5697,3.3,10,5,38
apartamento,apartment,Buildings,Non-Living Things,4.58,1.69,3.76,1,1.97,1,4.04,1.02,0.03,15.18,3.4,2242,3.49,11,5,38
ayuntamiento,town hall,Buildings,Non-Living Things,4.57,1.48,4.12,1.04,1.79,1.12,4.07,0.83,0.06,16.36,4.34,1571,2.54,12,5,38
bodega,wine cellar,Buildings,Non-Living Things,4.81,1.53,3.11,1.39,1.95,1.29,2.63,1.28,0.14,14.56,3.29,1151,2.49,6,3,38
cabaña,cabin,Buildings,Non-Living Things,3.7,1.07,2.78,1.25,2.29,1.17,2.96,1.09,0.08,11.86,3.32,746,2.88,6,3,38
campo de fútbol,soccer field,Buildings,Non-Living Things,2.79,0.66,4.09,0.98,1.89,1.17,2.88,1.21,0.08,15.28,0,257,0,13,5,38
capilla,chapel,Buildings,Non-Living Things,4.4,1.23,3.24,1.2,1.7,1.12,2.69,1.22,0.03,14.05,4.02,2136,2.48,7,3,38
cárcel,jail,Buildings,Non-Living Things,3.63,1.69,2.91,1.56,1.65,1.12,3.47,1.23,0.03,14.23,4.15,9366,3.52,6,2,38
casa,house,Buildings,Non-Living Things,1.55,0.69,5,0,2.04,1.25,4.95,0.26,0.78,17.31,5.09,81383,4.76,4,2,38
casa de cultura,municipal arts centre,Buildings,Non-Living Things,5.95,1.27,3.06,1.08,1.36,0.69,2.68,1.23,0.03,15.55,0,40,0,13,6,38
casa de socorro,first-aid post,Buildings,Non-Living Things,4.71,1.89,2.76,1.51,1.65,1.22,2.37,1.24,0.06,12.55,0,31,0,11,6,37
caseta,booth,Buildings,Non-Living Things,3.68,1.07,3.28,1.2,2.35,1.48,3.15,1.09,0.08,13.64,2.82,534,1.84,6,3,38
castillo,castle,Buildings,Non-Living Things,2.69,1.03,3.66,1.08,1.95,1.37,4.03,0.92,0.08,15.66,4.41,2458,2.95,8,3,38
catedral,cathedral,Buildings,Non-Living Things,3.86,1.25,3.97,0.92,1.82,1.31,4.26,0.62,0.11,14.76,4.09,2638,2.09,8,3,38
centro comercial,shopping center,Buildings,Non-Living Things,4.2,1.62,4.57,0.74,2.32,1.6,4.11,0.96,0.06,15.95,0,740,0,14,5,38
centro médico,clinic,Buildings,Non-Living Things,4.09,1.59,4.08,1.03,2.02,1.38,3.45,1.32,0.06,15.5,0,218,0,12,5,38
chabola,shanty,Buildings,Non-Living Things,5.16,1.4,2.49,1.31,1.88,1.18,2.55,1.17,0.11,10.55,1.85,112,0,7,3,38
chalet,chalet,Buildings,Non-Living Things,4.15,1.5,4.12,1.07,1.71,1.03,4.05,0.88,0.5,14.56,2.67,779,1.78,6,2,38
chamizo,shack,Buildings,Non-Living Things,5.86,2.38,1.71,0.74,1.83,1.28,1.68,1.2,0.03,11.56,2.34,40,0,7,3,33
choza,hut,Buildings,Non-Living Things,4.33,1.35,2.41,1.09,1.95,1.14,2.59,0.98,0.06,11.25,3.18,566,2.11,5,2,38
cine,cinema,Buildings,Non-Living Things,2.81,1.17,4.4,0.84,2.89,1.64,3.57,1.26,0.06,16.36,4.61,20880,3.39,4,2,38
cobertizo,shed,Buildings,Non-Living Things,5.39,1.31,2.02,1.08,1.55,0.93,2.24,0.93,0.03,10.8,2.66,171,2.19,9,4,38
cochera,garage,Buildings,Non-Living Things,4.34,1.65,3,1.22,2.12,1.51,2.67,1.1,0.06,12.79,2.36,124,2.24,7,3,38
colegiata,collegiate church,Buildings,Non-Living Things,4.79,3.12,1.77,1.51,1.3,1.17,1.82,1.62,0.03,12.03,2.76,76,0,9,4,29
colegio,school,Buildings,Non-Living Things,1.72,0.55,4.67,0.63,3.39,1.23,4.11,1.29,0.11,16.46,4.3,8420,3.28,7,3,38
comercio,store / shop,Buildings,Non-Living Things,4.53,1.5,4.45,0.86,2.56,1.53,2.83,1.24,0.03,15.84,4.64,10504,2.61,8,3,38
convento,convent,Buildings,Non-Living Things,4.78,1.42,2.26,1.17,1.47,1.07,2.89,1.08,0.06,14.15,3.9,2250,2.28,8,3,38
corral,farmyard   corral,Buildings,Non-Living Things,3.5,1.47,2.88,1.09,2.35,1.45,2.07,1.1,0.03,14.12,3.71,927,2.04,6,2,38
correos,post office,Buildings,Non-Living Things,4.51,1.12,4.19,0.9,2.14,1.18,3.01,1.17,0.08,15.63,3.5,678,2.49,7,3,38
cortijo,farmhouse,Buildings,Non-Living Things,5.59,1.93,2.3,1.34,1.69,1.28,2.38,1.34,0.08,14.09,2.84,122,0,7,3,37
cuadra,stable,Buildings,Non-Living Things,4.19,1.62,2.49,1.45,1.79,1.02,2.24,1.2,0.08,13.12,3.33,1425,2.62,6,2,38
cuartel,barracks /quarters,Buildings,Non-Living Things,4.59,1.41,3.1,1.16,1.63,1.29,2.94,1.08,0.03,13.39,3.8,2988,2.68,7,2,38
embajada,embassy,Buildings,Non-Living Things,5.89,1.07,2.52,1.16,1.29,0.79,2.89,1.2,0.03,14.87,3.69,2732,2.57,8,4,38
ermita,hermitage,Buildings,Non-Living Things,4.76,1.39,3.3,1.19,1.87,1.24,3.16,1.27,0.08,14.14,3.89,727,0.48,6,3,38
escuela,school,Buildings,Non-Living Things,2,0.72,4.59,0.72,3.37,1.41,4.14,1.05,0.11,16.61,4.64,14055,3.99,7,3,38
estación,station,Buildings,Non-Living Things,3.11,1.01,4.11,0.88,1.96,1.42,3.6,0.97,0.03,15.81,4.43,6860,3.37,8,3,38
estudio,studio flat,Buildings,Non-Living Things,5.37,1.61,3.43,1.05,2.04,1.3,2.72,1.06,0.03,16.48,4.7,28904,3.37,7,3,38
fábrica,factory,Buildings,Non-Living Things,3.45,1.07,3.77,1.37,2.24,1.42,4.1,0.94,0.14,15.89,3.99,4054,3.04,7,3,38
gallinero,hen house,Buildings,Non-Living Things,3.43,1.36,3.06,1.06,2.03,1.19,2.08,1.36,0.03,12.73,2.95,333,1.94,9,4,38
garaje,garage,Buildings,Non-Living Things,3.56,1.61,4.39,0.74,1.7,0.98,3.34,1.3,0.06,14.38,3.27,827,2.96,6,3,38
granero,barn,Buildings,Non-Living Things,4.51,1.23,2.33,1.17,2.22,1.1,2.6,1.2,0.03,11.96,2.92,251,2.47,7,3,38
hospital,hospital,Buildings,Non-Living Things,2.61,0.74,4.29,0.83,2.02,1.38,4.33,0.92,0.19,15.78,4.33,10001,3.84,8,3,38
hostal,hostel,Buildings,Non-Living Things,5.26,1.37,3.65,1.22,1.78,1.11,3.6,1.07,0.03,15.4,2.65,132,1.46,6,2,38
hotel,hotel,Buildings,Non-Living Things,3.49,1.26,4,0.86,1.72,0.97,4.53,0.64,0.06,16.68,4.12,10075,3.66,5,2,38
iglesia,church,Buildings,Non-Living Things,2.82,1.12,3.57,1.37,1.47,0.91,4.11,1.14,0.31,15.42,4.82,8983,3.54,7,3,38
local,establishment,Buildings,Non-Living Things,4.56,1.5,4.03,1.16,1.95,1.26,3.58,1.29,0.08,16.42,4.55,15889,3.23,5,2,38
matadero,slaughterhouse,Buildings,Non-Living Things,4.87,1.22,2.65,1.33,2.22,1.5,2.33,1.1,0.03,13.25,3.01,446,1.98,8,4,38
mercado,market,Buildings,Non-Living Things,2.97,1.33,4.22,0.95,2.45,1.4,3.26,1.22,0.03,16.2,4.91,33083,3.24,7,3,38
ministerio,ministry,Buildings,Non-Living Things,5.56,1.4,3.51,1.03,1.82,1.36,3.11,1.24,0.03,15.64,4.53,3389,2.52,10,4,38
molino,mill,Buildings,Non-Living Things,3.77,1.64,3.02,1.29,2.22,1.23,2.87,1.16,0.03,14.5,3.47,860,2.12,6,3,38
monasterio,monastery,Buildings,Non-Living Things,4.59,1.26,3.27,1.32,1.91,1.47,3.36,1.23,0.06,14.53,3.99,1499,2.25,10,4,38
monumento,monument,Buildings,Non-Living Things,4.18,1.36,3.82,0.94,1.85,1.4,3.27,1.32,0.06,13.84,3.95,1981,2.12,9,4,38
museo,museum,Buildings,Non-Living Things,3.76,1.35,3.59,1.15,1.59,0.86,3.82,0.77,0.06,15.51,4.46,4304,3.01,5,3,38
nave industrial,warehouse,Buildings,Non-Living Things,5.52,1.21,3.4,1.2,2.02,1.11,3.59,1.02,0.06,14.11,0,48,0,14,5,38
pajar,straw loft,Buildings,Non-Living Things,3.76,1.69,2.75,1.44,2.11,1.37,2.14,1.09,0.06,12.04,2.28,173,1.2,5,2,37
palacio,palace,Buildings,Non-Living Things,2.99,1.45,3.34,1.15,1.88,1.29,4.05,1.15,0.11,15.47,4.49,6016,1.53,7,3,38
palomar,dovecote,Buildings,Non-Living Things,4.74,1.14,2.42,1.06,1.94,1.06,1.97,0.96,0.03,12.95,2.93,146,2.32,7,3,38
panteón,vault / mausoleum,Buildings,Non-Living Things,5.87,0.99,2.44,0.92,1.81,1.24,2.4,1.26,0.03,11.18,3.24,547,1.94,7,3,38
piscina,pool,Buildings,Non-Living Things,2.23,0.97,4.26,0.99,3.07,1.62,2.04,1.15,0.03,15.72,3.5,2158,1.97,7,4,38
piso,apartment,Buildings,Non-Living Things,3.13,1.53,4.86,0.62,2.4,1.64,4.46,1.06,0.11,15.62,4.04,9991,1.97,4,2,38
plaza de toros,bullring,Buildings,Non-Living Things,3.7,1.53,3.12,1.54,1.66,1.05,2.99,1.25,0.08,14.33,0,516,0,12,5,38
rascacielos,skyscraper,Buildings,Non-Living Things,4.18,1.39,3.76,1.28,2.13,1.49,4.49,0.69,0.11,12.2,3.19,493,0.95,11,4,38
residencia,residence,Buildings,Non-Living Things,5.24,1.4,3.38,1.14,1.68,0.97,3.32,1.29,0.14,15.4,4.09,6081,1.99,10,4,38
secretaría,secretary´s office,Buildings,Non-Living Things,4.76,1.55,3.72,0.93,2.67,1.51,2.49,1.1,0.03,15.49,3.8,1421,0.9,10,5,38
senado,senate,Buildings,Non-Living Things,5.82,1.56,3.31,1.45,2.37,1.63,2.76,1.43,0.03,13.51,4.13,311,3.16,6,3,37
silo,silo,Buildings,Non-Living Things,4.39,2.93,1.59,1.28,1.35,1.23,1.58,1.4,0.03,12,2.57,41,1.08,4,2,29
sinagoga,synagogue,Buildings,Non-Living Things,5.93,1.04,2.24,1.1,1.71,1.23,2.48,0.85,0.03,11.38,2.9,195,0.9,8,4,38
taller,repair shop,Buildings,Non-Living Things,3.67,1.34,3.7,1.13,2.84,1.53,3.41,1.2,0.03,16.12,3.7,3547,1.79,6,2,38
teatro,theater,Buildings,Non-Living Things,3.21,0.98,4.03,0.92,1.96,1.36,3.64,1.04,0.06,15.74,4.55,15875,1.72,6,3,38
tienda,shop,Buildings,Non-Living Things,2.53,0.69,4.61,0.39,2.5,1.42,3.8,0.96,0.03,16.79,3.91,4387,0.7,6,2,38
torre,tower,Buildings,Non-Living Things,3.32,1.5,3.63,0.97,1.75,1.26,3.71,0.88,0.19,15.82,4.28,2966,1.2,5,2,38
túnel aerodinámico,wind tunnel,Buildings,Non-Living Things,6.39,1.61,1.7,1.01,1.47,1.22,1.54,1.06,0.03,9.44,0,2,0,17,9,36
vivienda,dwelling,Buildings,Non-Living Things,3.59,1.58,4.81,0.45,2.62,1.55,4.44,0.91,0.08,15.57,4.14,6690,2.07,8,3,38
abrigo,coat,Clothing,Non-Living Things,2.08,1.2,4.61,1,3.87,1.28,4.82,0.65,0.67,13.46,3.52,2055,3.02,6,3,38
alpargata,espadrille,Clothing,Non-Living Things,4.33,1.66,3.15,1.27,2.48,1.42,2.96,1.21,0.03,10.53,1.81,50,0,9,4,38
bañador,swimsuit,Clothing,Non-Living Things,2.32,0.96,4.32,0.86,3.33,1.53,3.89,1,0.03,12.8,2.07,232,1.56,7,3,38
bata,house coat,Clothing,Non-Living Things,3.07,1.37,3.8,1.23,3.12,1.55,3.71,0.88,0.17,12.92,3.07,1362,2.64,4,2,38
blusa,blouse,Clothing,Non-Living Things,3.63,1.49,4.1,1,3.43,1.14,4.43,0.92,0.17,12.51,2.91,990,2.57,5,2,38
boina,beret,Clothing,Non-Living Things,4.14,1.29,2.86,1.42,2.47,1.16,2.83,1.29,0.08,11.45,2.52,477,1.69,5,2,38
bota,boot,Clothing,Non-Living Things,2.54,1.07,4.43,0.79,3.63,1.39,3.97,0.79,0.11,13.57,3.02,656,2.33,4,2,38
braga,neck gaiter,Clothing,Non-Living Things,2.68,1.58,4.32,1.16,3.56,1.34,3.96,1.12,0.19,13.25,2.89,59,1.15,5,2,38
bufanda,scarf,Clothing,Non-Living Things,2.65,1.25,4.26,0.85,3.39,1.07,3.97,1.07,0.25,13.01,2.5,337,2.23,7,3,38
calcetín,sock,Clothing,Non-Living Things,2.09,0.86,4.9,0.26,4.18,0.89,4.7,0.42,0.61,11.7,2.21,164,2.02,8,3,38
calzón de baño,bathing trunks,Clothing,Non-Living Things,4.52,2.38,2.4,1.52,3.03,1.39,2.65,1.42,0.06,12.34,0,4,0,12,5,37
calzoncillos,underpants,Clothing,Non-Living Things,2.55,1,4.56,1,3.21,1.07,4.31,1.08,0.44,10.89,2.56,627,2.47,11,4,38
camisa,shirt,Clothing,Non-Living Things,2.64,0.92,4.76,0.36,3.83,1.13,4.83,0.31,0.56,13.83,3.63,4075,3.28,6,3,38
camiseta,t-shirt,Clothing,Non-Living Things,2.16,0.99,4.7,0.42,3.44,1.08,4.88,0.31,0.42,14.78,3.64,1672,2.93,8,4,38
casaca,dress coat,Clothing,Non-Living Things,5.61,1.79,2.14,1.14,3.01,1.33,2.47,1.26,0.03,11.16,2.96,245,0.7,6,2,38
cazadora,jacket,Clothing,Non-Living Things,3.55,1.52,4.6,0.75,3.15,1.28,4.59,0.64,0.14,12.79,2.84,299,1.99,8,4,38
chal,shawl,Clothing,Non-Living Things,6.24,0.9,2.68,1.05,2.96,1.19,2.37,1.12,0.08,11.88,2.63,260,0,4,1,38
chaleco,vest,Clothing,Non-Living Things,3.96,1.47,3.27,1.1,3.26,1,3.79,0.94,0.11,13.27,3.09,736,2.5,7,3,38
chándal,track-suit,Clothing,Non-Living Things,3.04,0.73,4.15,1.33,3.32,1.32,4.26,0.91,0.14,12.85,1.97,140,0,7,2,38
chaqué,morning coat,Clothing,Non-Living Things,5.95,2.13,1.97,1.19,2.95,1.52,2.47,1.42,0.03,9.47,1.67,98,0.6,6,2,36
chaqueta,jacket,Clothing,Non-Living Things,2.83,1.27,4.76,0.53,3.58,1.21,4.77,0.44,0.75,13.93,3.37,1926,3.19,8,2,38
chaquetón,short coat,Clothing,Non-Living Things,3.94,1.71,4.03,1.26,3.65,1.52,4.12,0.83,0.17,13.93,2.17,163,0.9,9,3,38
chistera,top hat,Clothing,Non-Living Things,5,1.4,2.44,0.91,2.46,1.11,2.12,1.07,0.06,11.17,2.27,177,0,8,3,38
cinturón,belt,Clothing,Non-Living Things,3.02,1.28,4.62,0.58,3.73,1.17,3.97,1,0.11,13.75,3.51,1422,2.98,8,3,38
combinación,undergarment  slip,Clothing,Non-Living Things,4.89,1.99,2.88,1.34,3.11,1.38,2.24,1.29,0.22,14.29,3.97,4043,2.83,11,4,37
corbata,tie,Clothing,Non-Living Things,3.64,1.07,3.97,1.07,4.03,0.81,4.09,0.92,0.25,12.61,3.2,1810,2.8,7,3,38
delantal,apron,Clothing,Non-Living Things,3.74,1.4,3.79,0.92,3.02,1.19,2.49,1.26,0.03,11.98,2.74,435,1.97,8,3,38
enagua,petticoat,Clothing,Non-Living Things,5.16,1.82,2.1,1.13,2.79,1.22,2.16,1.29,0.06,10.66,1.78,96,0.7,6,3,38
esmoquin,tuxedo,Clothing,Non-Living Things,5.66,1.27,2.2,1.26,2.96,1.28,3.14,1.17,0.03,11.26,1.99,122,2.37,8,3,38
faja,girdle,Clothing,Non-Living Things,4.69,1.5,2.76,1.31,3.55,1,2.92,1.23,0.11,12.5,2.94,606,1.68,4,2,38
falda,skirt,Clothing,Non-Living Things,2.29,1.07,4.22,1.09,3.29,1.83,4.74,0.73,0.44,13.94,3.41,2117,2.61,5,2,38
frac,tailcoat,Clothing,Non-Living Things,5.43,1.93,2.2,1.4,2,1.42,2.39,1.53,0.03,12.19,3.6,250,0,4,1,35
gabardina,raincoat,Clothing,Non-Living Things,4.64,1.27,3.53,1.07,2.93,1.22,3.77,0.84,0.25,11.18,2.18,539,1.43,9,4,38
gorra,cap,Clothing,Non-Living Things,3.07,1.04,3.94,1.06,2.84,1.29,3.81,0.97,0.06,13.07,3.19,880,2.56,5,2,38
gorro,bonnet,Clothing,Non-Living Things,2.34,1.01,3.74,1.09,3.14,1.23,3.97,0.85,0.08,13.43,3.22,566,2.21,5,2,38
guantes,gloves,Clothing,Non-Living Things,2.39,1.29,4.16,1.05,3.85,1.53,3.8,1.2,0.06,13.88,3.24,1251,2.78,7,2,38
guardapolvos,overalls,Clothing,Non-Living Things,5.73,2.51,1.57,1.27,1.69,1.1,1.45,0.96,0.03,10.9,1.68,60,1.11,12,4,33
impermeable,raincoat,Clothing,Non-Living Things,4.07,1.43,3.61,1.08,3,1.04,3.41,1.06,0.11,12.52,2.7,515,1.89,11,5,38
jersey,sweater,Clothing,Non-Living Things,2.43,0.91,4.63,0.36,3.4,1.1,4.82,0.39,0.58,14.47,3.5,554,0,6,2,38
levita,frock-coat,Clothing,Non-Living Things,4.66,2.99,1.11,1.18,2.16,1.83,1.32,1.37,0.03,11,2.94,249,0.6,6,3,29
medias,stockings,Clothing,Non-Living Things,3.54,0.96,3.97,1.4,3.82,1.22,3.94,0.92,0.36,14.51,3.91,4789,2.89,6,2,38
niqui,t-shirt,Clothing,Non-Living Things,3.51,2.08,2.94,1.86,2.71,1.69,2.8,1.71,0.03,9.53,0.3,6,0,5,2,32
pantalón,pants / trousers,Clothing,Non-Living Things,2.11,1.18,4.84,0.57,4.03,1.03,4.89,0.45,0.72,13.98,3.55,2336,1.54,8,3,38
pañoleta,headscarf,Clothing,Non-Living Things,4.73,2.77,2.12,1.52,2.74,2.05,1.45,1.29,0.03,8.21,1.85,56,1.36,8,4,30
pañuelo,handkerchief,Clothing,Non-Living Things,2.62,0.83,4.07,1.07,4.24,0.96,2.88,1.12,0.14,12.85,3.52,2305,2.03,7,3,38
pañuelo de cuello,neckerchief,Clothing,Non-Living Things,4.49,1.58,3.76,1.29,3.27,1.24,3.06,1.1,0.03,11.57,0,5,0,15,6,38
pelele,rompers,Clothing,Non-Living Things,5.14,2.43,1.86,1.18,2.43,1.42,1.78,1.26,0.03,10.79,2.1,122,0.85,6,3,34
pijama,pyjamas,Clothing,Non-Living Things,1.9,0.75,4.5,0.55,3.7,1.12,4.32,0.82,0.06,12.86,2.56,671,1.23,6,3,38
playero,sneakers,Clothing,Non-Living Things,4.44,2.28,2.76,1.61,2.57,1.48,2.5,1.68,0.03,11.44,1.95,81,0.85,7,3,36
sandalia,sandal,Clothing,Non-Living Things,2.97,1.3,3.82,1.21,3,1.25,3.56,1.23,0.03,11.5,2.06,59,2.09,8,3,38
saya,petticoat,Clothing,Non-Living Things,4.09,3.23,1.21,1.37,1.96,1.73,1.26,1.65,0.03,11.75,2.73,73,0,4,2,26
sombrero,hat,Clothing,Non-Living Things,2.88,1.37,3.45,1.24,2.82,1.14,3.61,1.1,0.28,13.68,3.82,3427,2.36,8,3,38
sudadera,sweatshirt,Clothing,Non-Living Things,3.76,1.5,4.24,0.92,3.68,1.36,4.11,0.9,0.03,12.71,1.68,35,1.48,8,4,38
sujetador,bra,Clothing,Non-Living Things,3.88,1.1,4.5,0.84,4.32,0.84,4.24,0.79,0.17,13.3,2.11,186,1.15,9,4,38
traje,suit,Clothing,Non-Living Things,3.64,1.07,3.82,0.98,3.22,1.49,4.51,0.63,0.11,14.61,3.99,4996,0.78,6,2,38
traje de boda,wedding dress,Clothing,Non-Living Things,3.68,1.6,3.29,1.26,3.32,1.26,3.31,1.17,0.11,14.01,0,14,0,9,5,38
trinchera,trench coat,Clothing,Non-Living Things,4.58,3.13,1.18,1.05,1.85,1.44,1.09,0.76,0.03,11.51,2.79,436,2.08,9,3,28
uniforme,uniform,Clothing,Non-Living Things,3.72,1.16,3.55,1.29,3.17,1.36,3.85,0.96,0.03,14.48,3.97,4169,1.2,8,4,38
vestido,dress,Clothing,Non-Living Things,2.4,1.24,4.44,1.1,3.4,1.25,4.64,0.79,0.39,14.68,3.98,7073,2.06,7,3,38
visera,visor,Clothing,Non-Living Things,4.74,1.58,2.61,1.33,2.95,1.15,2.22,1.06,0.11,11.55,2.64,229,1.84,6,3,38
zapatilla,slipper,Clothing,Non-Living Things,2.18,1.08,4.46,0.85,3.62,1.47,4.38,0.83,0.06,12.66,2.26,143,2.51,9,4,38
zapato,shoe,Clothing,Non-Living Things,1.87,1.34,4.89,0.36,3.63,1.06,4.52,0.56,0.56,13.77,3.02,877,0.9,6,3,38
alacena,cupboard,Furniture,Non-Living Things,5.21,1.73,2.53,1.28,2.13,1.37,2.74,1.24,0.03,11.57,2.15,177,1.87,7,4,38
aparador,sideboard,Furniture,Non-Living Things,4.74,1.44,3.21,1.25,2.82,1.32,3.32,1.07,0.22,11.64,2.39,243,1.69,8,4,38
arca,coffer,Furniture,Non-Living Things,5.4,1.49,2.36,1.27,2.83,1.47,2.4,1.08,0.03,13.8,3.15,346,2.36,4,2,38
archivador,filing cabinet,Furniture,Non-Living Things,5.11,1.17,3.62,1.26,3.77,1.14,2.68,1.2,0.03,11.19,1.72,45,1.2,10,4,38
arcón,trunk,Furniture,Non-Living Things,5.13,1.87,2.85,1.36,2.81,1.33,2.82,1.3,0.03,11.9,2.26,166,1.34,5,2,37
armario,closet,Furniture,Non-Living Things,2.61,0.91,4.68,0.7,3.02,1.16,4.74,0.48,0.53,14.39,3.21,1580,3.06,7,3,38
balda,shelf,Furniture,Non-Living Things,5.05,1.69,3.63,1.28,2.55,1.48,2.76,1.48,0.03,11.34,1.82,27,0,5,2,37
banco,bench,Furniture,Non-Living Things,3.68,1.73,4.43,0.58,2.09,1.35,3.45,1.23,0.17,10.53,4.56,9256,3.51,5,2,38
banqueta,stool,Furniture,Non-Living Things,3.76,1.63,3.59,1.12,2.54,1.36,3.54,1.02,0.11,11.41,2.46,295,1.28,8,3,38
baúl,trunk,Furniture,Non-Living Things,3.62,1.36,3.8,1.22,2.54,1.15,3.41,1.06,0.03,13.42,2.82,844,2.61,4,2,38
buró,bureau,Furniture,Non-Living Things,4.48,3.17,2.07,1.45,1.71,1.33,2.11,1.6,0.03,12.42,2.5,183,0,4,2,30
butaca,armchair,Furniture,Non-Living Things,3.93,1.46,3.64,1.2,1.98,1.17,3.89,1,0.17,13.64,2.86,863,1.3,6,3,38
butacón,large armchair,Furniture,Non-Living Things,4.51,1.95,2.93,1.45,1.99,1.18,3.11,1.4,0.06,13.63,1.36,100,0.48,7,3,37
cama,bed,Furniture,Non-Living Things,1.59,0.55,4.92,0.42,2.6,1.15,4.76,0.61,0.64,15.18,4.15,15551,3.87,4,2,38
camilla,stretcher,Furniture,Non-Living Things,4.71,1.34,2.82,1.18,2.76,1.25,2.65,1.19,0.03,13.23,2.93,783,2.5,7,3,38
cómoda,chest of drawers,Furniture,Non-Living Things,4.66,1.36,3.47,1.4,2.4,1.26,3.32,1.33,0.17,15.97,3.34,1682,2.88,6,3,38
coqueta,dressing table,Furniture,Non-Living Things,4.91,2.79,2.32,1.71,2.11,1.59,1.68,1.41,0.03,11.9,2.84,285,1.68,7,3,32
cuna,cradle,Furniture,Non-Living Things,2.29,1.5,3.23,1.24,2.61,1.27,3.05,1.09,0.03,14.41,3.52,1677,2.58,4,2,38
descalzadora,vanity stool,Furniture,Non-Living Things,6.09,1.59,1.89,0.88,2.63,1.53,1.74,0.78,0.06,9.27,0,4,0,12,5,37
escritorio,desk,Furniture,Non-Living Things,3.67,1.37,4.27,0.79,3.7,1.34,3.99,0.92,0.03,15.33,3.43,2320,3.13,10,4,38
espejo,mirror,Furniture,Non-Living Things,2.34,0.94,4.61,0.53,2.06,1.36,3.68,1.25,0.06,14.61,3.91,6684,3.07,6,3,38
estantería,bookcase,Furniture,Non-Living Things,3.96,1.31,4.31,0.69,2.66,1.3,4.32,0.84,0.03,13.27,2.37,304,1.59,10,5,38
lámpara,lamp,Furniture,Non-Living Things,2.87,1.05,4.58,0.69,2.79,1.29,3.74,1.19,0.08,13.96,3.45,1650,2.63,7,3,38
librería,bookcase,Furniture,Non-Living Things,3.75,1.47,4.16,0.83,2.93,1.27,3.87,1.09,0.03,14.96,3.28,1102,2.42,8,4,38
litera,bunk,Furniture,Non-Living Things,3.18,1.12,3.38,1.1,2.39,1.45,3.44,1.14,0.03,13.02,2.86,206,1.92,6,3,38
mecedora,rocking chair,Furniture,Non-Living Things,3.98,1.46,3.37,1.14,2.77,1.46,3.16,1.13,0.08,11.13,2.08,480,1.34,8,4,38
mesa,table,Furniture,Non-Living Things,1.87,0.86,5,0,2.57,1.17,4.97,0.19,0.78,15.76,4.49,19930,3.66,4,2,38
