word_french,translate_word_english,aoa_mean,aoa_sd,familiar_mean,familiar_sd,imagine_mean,imagine_sd
porte-savon,soap dish,2.77,0.88,4.33,1.12,4.5,0.97
porte-serviettes,towel rack,2.84,0.9,4.53,1.01,4.47,0.86
porte-ski,ski-rack,3.55,0.93,3.4,1.67,3.33,1.45
porte-voix,megaphone,3.81,0.98,3.57,1.59,3.37,1.45
portrait-robot,identikit portrait,3.68,0.83,4.03,1.43,4.07,1.2
pot-au-feu,stew,3.16,0.86,4.27,1.05,4.33,1.09
pot-de-vin,bribe,4.26,0.77,3.57,1.65,2.67,1.35
pot-pourri,potpourri,3.87,1.15,3.6,1.5,3.27,1.72
presqu'île,peninsula,3.94,0.93,3.37,1.5,3.47,1.28
presse-agrume,juicer,3.26,1.06,4.13,1.11,4.3,1.21
presse-bouton,press button,3.68,0.94,2.73,1.64,2.57,1.33
presse-papiers,clipboard,3.55,0.81,3.73,1.53,3.9,1.37
prêt-à-porter,ready-to-wear,3.65,0.8,4.27,1.17,3.7,1.29
prie-Dieu,prayer desk,4.16,1.04,2.33,1.42,2.23,1.57
protège cahier,dust cover (book),2.48,0.68,4.43,1.04,4.77,0.5
protège-cou,neck protector,3.06,1.06,3.77,1.48,3.6,1.45
protège-dents,mouth guard,3.52,0.89,4.13,1.31,4.17,1.29
protège-genou,knee protector,2.84,0.78,4.23,1.17,4.27,1.23
protège-jambe,leg guard,3.1,0.91,3.43,1.57,3.8,1.19
prud'homme,ombudsman,4.84,0.37,3.6,1.48,2.47,1.53
pur-sang,purebred,3.48,1.21,4.17,1.34,3.53,1.55
rabat-joie,kill-joy,3.81,0.87,4,1.26,2.83,1.51
radio-réveil,alarm clock,2.39,0.72,4.67,0.84,4.67,0.92
ramasse-miettes,crumb tray,3.23,1.02,3.63,1.5,3.6,1.3
ramasse-poussière,dustpan,3.03,0.87,3.67,1.56,3.83,1.18
raz-de-marée,tsunami,3.19,0.83,4.03,1.4,3.7,1.34
remonte-pente,chair lift,3.84,0.93,3.33,1.58,3.3,1.49
remue-méninges,brainstorm,3.77,0.99,3.9,1.21,2.57,1.41
rendez-vous,appointment,2.32,0.75,4.83,0.59,3.4,1.35
repose-pied,footrest,3,0.86,4.33,1.24,4,1.08
réveille-matin,alarm clock,2.61,0.92,3.97,1.43,4.1,1.18
rez-de-chaussée,ground floor,2.45,0.93,4.8,0.61,4.17,1.12
rince-doigts,finger bowl,3.71,0.97,3.73,1.36,3.93,1.44
robe de chambre,dressing gown,2.55,0.89,4.37,1.25,4.43,1.01
rocking-chair,rocking chair,3.9,1.14,3,1.8,3.6,1.73
roman-photo,photo comic,3.71,1.07,3.6,1.5,3.37,1.38
rond-point,roundabout,2.68,0.65,4.87,0.35,4.73,0.64
rouge à lèvres,lipstick,2.19,0.65,4.63,0.89,4.83,0.53
rouge-gorge,robin,2.42,0.96,4.53,0.73,4.43,0.94
sac à main,handbag,2.03,0.71,4.73,0.91,4.8,0.61
sac-poubelle,garbage bag,2,0.52,4.87,0.35,4.8,0.41
sage-femme,midwife,3.45,0.85,4.43,1.14,4.53,0.73
sain et sauf,safe and sound,3.13,0.85,4.73,0.69,3.23,1.38
sang-froid,cold blood,3.55,0.89,4.3,1.15,2.83,1.42
sans-abri,homeless,3.03,0.84,4.53,1.01,4.5,0.78
sans-cœur,heartless,3.03,1.02,4.23,1.38,2.93,1.41
sans-culotte,sans-culotte,3.71,0.97,3.6,1.25,3.17,1.46
sans-emploi,unemployed,3.32,0.87,4.7,0.88,3.33,1.49
sans-faute,faultless,2.71,0.9,4.47,0.97,2.83,1.6
sans-grade,rank and file,4.35,0.8,2.97,1.54,2.03,1.25
sans-papier,illegal immigrant,3.35,0.8,4.37,1.22,3.43,1.33
sapeur-pompier,firefighter,2.32,0.75,4.5,1.01,4.6,0.77
saute-mouton,leapfrog,1.9,0.54,4.4,1.19,4.37,0.85
sauve-qui-peut,run for your life,2.68,0.98,4.37,1.22,2.8,1.56
savoir-faire,know how,3.29,0.9,4.6,0.89,2.57,1.28
savoir-vivre,good manners,3.48,0.96,4.6,0.81,2.6,1.43
science-fiction,science fiction,3.06,0.85,4.7,0.6,3.6,1.35
sèche-cheveux,hair dryer,2.1,0.7,4.87,0.57,4.97,0.18
sèche-linge,tumble drier,2.52,0.81,4.77,0.77,4.77,0.77
sèche-main,hand dryer,2.74,0.82,4.43,0.97,4.63,0.61
semi-remorque,tractor-trailer,3.39,0.95,3.57,1.65,4.23,1.07
serre-tête,headband,2.13,0.88,4.37,1.19,4.57,0.73
souffre-douleur,scapegoat,3.58,0.89,4.37,1.03,3.43,1.45
sourd-muet,deaf mute,2.74,0.73,4.3,1.26,3.93,1.2
sous-bois,undergrowth,3.45,1.06,3.57,1.5,3.33,1.45
sous-couche,undercoat,3.61,1.05,3.6,1.63,2.9,1.32
sous-entendu,implication,3.68,0.87,4.6,0.86,2.7,1.53
sous-fifre,underling,4.23,0.76,3.03,1.61,2.07,1.08
sous-main,desk blotter,3.58,1.29,3.2,1.69,2.77,1.55
sous-marin,submarine,2.26,0.63,4.13,1.53,4.7,0.6
sous-pull,under-sweater,2.29,0.94,4.13,1.28,4.03,1.3
sous-sols,Basements,2.55,0.68,4.7,0.75,4.23,0.86
sous-traitant,subcontractor,4.58,0.62,3.03,1.54,1.9,1.06
sous-verre,coaster,3.29,1.01,4.4,1.13,4.23,1.07
sous-vêtement,underwear,2.52,0.93,4.87,0.43,4.8,0.48
soutien-gorge,bra,2.77,0.92,4.83,0.75,4.93,0.25
spatio-temporel,spatio-temporal,4.39,0.72,4.13,1.2,2.33,1.42
strip-tease,striptease,4.13,0.72,4.27,1.39,4.5,0.82
surprise-partie,surprise party,3.26,0.73,3.83,1.51,3.27,1.26
taille de guêpe,hourglas figure,3.84,1.04,4.1,1.27,4.27,0.91
taille-crayon,sharpener,2.06,0.51,4.67,0.92,4.97,0.18
taille-haie,hedge trimmer,3.61,0.76,4.13,1.22,4.2,1.13
talkie-walkie,walkie-talkie,2.55,0.81,4.37,1.33,4.7,0.7
tam-tam,tam tam,1.84,0.86,3.87,1.53,4.43,1.01
terre-plein,central reservation (highway),3.94,0.89,3.97,1.4,3.47,1.33
tête-à-queue,head-to-tail,3.84,0.93,3.8,1.45,3.37,1.52
tête-à-tête,face-to-face,3.13,0.88,4.73,0.69,4.07,1.05
tête-bêche,topsy-turvy,4.29,0.82,2.13,1.46,2.37,1.54
tête-de-nègre,dark brown,4.1,0.91,3.43,1.55,3.4,1.48
tic-tac,tick-tock,1.77,0.72,4.57,1.01,4.1,1.32
tiers-monde,Third World,4.1,0.91,4.13,0.94,3.13,1.25
timbre-poste,stamp,3.06,1.03,4.27,1.08,4.57,0.86
tire-au-flanc,shirker,4.1,0.79,3.63,1.3,2.43,1.3
tire-bouchon,corkscrew,2.61,0.88,4.7,0.7,4.83,0.59
tire-fesses,drag lift,2.94,1.15,4.4,1.25,4.27,0.87
touche-à-tout,jack of all trades,3.23,1.26,4.2,1.16,2.7,1.47
tour de force,tour de force,4.19,0.75,2.47,1.5,1.6,0.97
tourne-disque,record player,3.42,0.96,3.73,1.39,4.17,1.42
traine-misère,misery guts,4.32,0.75,2.2,1.49,1.87,1.14
traine-savate,lazybones,3.87,1.06,3.03,1.47,2.37,1.54
trompe-l'œil,optical illusion,3.68,1.05,4.2,1.13,3.6,1.35
trompe-la-mort,death-dodger,4.55,0.62,1.83,1.05,1.73,1.11
trop-perçu,overpayment,4.55,0.72,2.63,1.61,1.83,1.12
trouble-fête,spoilsport,4.23,0.76,3.37,1.63,2.4,1.16
tue-mouche,fly swatter,3.06,0.81,4,1.44,4,1.29
ultra-violet,ultraviolet,4.23,0.72,4.33,1.03,2.8,1.37
va-et-vient,toing and froing,3.45,0.77,4.3,1.32,3.53,1.36
ver à soie,silkworm,4.26,1,2.8,1.61,2.7,1.53
vice-président,vice-president,3.65,0.8,4.23,1.3,3.2,1.54
vide-bouteille,siphon,4.23,0.84,3.07,1.62,2.43,1.36
vide-ordures,garbage chute,3.26,0.82,4.03,1.43,4.13,1.07
vide-poches,storage compartment,4.06,0.85,3.8,1.52,3.1,1.45
vol-au-vent,vol-au-vent,4,0.68,2.5,1.38,2.17,1.44
volte-face,U-turn,4.32,0.83,3.23,1.55,1.97,1.33
wagon-citerne,tank wagon,3.87,0.88,3.2,1.54,3.43,1.72
wagon-lit,sleeping car,3.94,0.89,3.17,1.6,3.17,1.42
week-end,week-end,1.94,0.68,5,0,3.6,1.52
